fname,labels,mids,split,multi_label,primary_label
342664,Alarm,/m/07pp_mv,train,"[0, 0, 0, 0, 0, 0, 0, 1]",
152787,"Walk_and_footsteps,Run,Wood","/m/07pbtc8,/m/06h7j,/m/083vt",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Walk_and_footsteps
108588,Tools,/m/07k1x,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Tools
68160,Mechanisms,/t/dd00077,val,"[0, 0, 0, 0, 0, 0, 0, 0]",Mechanisms
360831,"Ringtone,Telephone,Alarm","/m/01hnzm,/m/07cx4,/m/07pp_mv",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
10347,Screech,/m/07q8k13,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Screech
362238,"Shatter,Glass","/m/07rn7sz,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
101156,Burping_and_eructation,/m/03q5_w,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Burping_and_eructation
223375,"Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds","/m/05mxj0q,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Packing_tape_and_duct_tape
323084,"Screaming,Shout,Human_voice","/m/03qc9zr,/m/07p6fty,/m/09l8g",train,"[1, 1, 0, 0, 0, 0, 0, 0]",
4912,"Bark,Dog,Domestic_animals_and_pets,Animal","/m/05tny_,/m/0bt9lr,/m/068hy,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bark
91013,"Cowbell,Bell","/m/0239kh,/m/0395lw",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cowbell
273432,"Traffic_noise_and_roadway_noise,Car,Motor_vehicle_(road),Vehicle","/m/0btp2,/m/0k4j,/m/012f08,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Traffic_noise_and_roadway_noise
90547,"Cowbell,Bell","/m/0239kh,/m/0395lw",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cowbell
233029,"Speech,Human_voice","/m/09x0r,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Speech
201259,"Zipper_(clothing),Domestic_sounds_and_home_sounds","/m/01s0vc,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Zipper_(clothing)
193950,"Typewriter,Typing,Domestic_sounds_and_home_sounds","/m/0c2wf,/m/0316dw,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Typewriter
217767,"Wild_animals,Animal","/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Wild_animals
361748,"Finger_snapping,Hands","/m/025_jnm,/m/0k65p",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Finger_snapping
108578,Tools,/m/07k1x,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Tools
244927,Alarm,/m/07pp_mv,train,"[0, 0, 0, 0, 0, 0, 0, 1]",
13423,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music","/m/085jw,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Wind_instrument_and_woodwind_instrument
357872,"Trumpet,Brass_instrument,Musical_instrument,Music","/m/07gql,/m/01kcd,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Trumpet
205510,"Engine_starting,Car,Motor_vehicle_(road),Vehicle,Engine","/t/dd00130,/m/0k4j,/m/012f08,/m/07yv9,/m/02mk9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Engine_starting
368805,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",val,"[0, 0, 0, 1, 1, 0, 0, 0]",
213453,"Tick-tock,Clock,Mechanisms","/m/07qjznl,/m/01x3z,/t/dd00077",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Tick-tock
16197,"Conversation,Speech,Human_voice","/m/01h8n0,/m/09x0r,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Conversation
220617,"Screaming,Human_voice","/m/03qc9zr,/m/09l8g",val,"[1, 0, 0, 0, 0, 0, 0, 0]",
126561,Alarm,/m/07pp_mv,train,"[0, 0, 0, 0, 0, 0, 0, 1]",
196073,"Laughter,Human_voice","/m/01j3sz,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Laughter
167227,"Yell,Shout,Human_voice","/m/07sr1lc,/m/07p6fty,/m/09l8g",train,"[0, 1, 0, 0, 0, 0, 0, 0]",
254336,"Yell,Shout,Human_voice","/m/07sr1lc,/m/07p6fty,/m/09l8g",train,"[0, 1, 0, 0, 0, 0, 0, 0]",
411691,Explosion,/m/014zdl,train,"[0, 0, 0, 1, 0, 0, 0, 0]",
92315,"Snare_drum,Drum,Percussion,Musical_instrument,Music","/m/06rvn,/m/026t6,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Snare_drum
415862,Tick,/m/07qjznt,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Tick
60389,"Zipper_(clothing),Domestic_sounds_and_home_sounds","/m/01s0vc,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Zipper_(clothing)
274069,"Trickle_and_dribble,Splash_and_splatter,Liquid,Pour","/m/07pqc89,/m/07rrlb6,/m/04k94,/m/07prgkl",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Trickle_and_dribble
231765,"Gunshot_and_gunfire,Boom,Explosion","/m/032s66,/m/07qqyl4,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
32316,"Engine_starting,Engine","/t/dd00130,/m/02mk9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Engine_starting
352066,"Chink_and_clink,Glass","/m/07q7njn,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
13802,"Crying_and_sobbing,Human_voice","/m/0463cq4,/m/09l8g",train,"[0, 0, 1, 0, 0, 0, 0, 0]",
426205,"Shatter,Crushing,Glass","/m/07rn7sz,/m/07plct2,/m/039jq",val,"[0, 0, 0, 0, 0, 1, 0, 0]",
88936,"Shatter,Glass","/m/07rn7sz,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
209578,"Bell,Mechanisms","/m/0395lw,/t/dd00077",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bell
67564,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
9325,"Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/07pggtn,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Chirp_and_tweet
108044,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
100767,"Wild_animals,Animal","/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Wild_animals
343879,"Screaming,Human_voice","/m/03qc9zr,/m/09l8g",train,"[1, 0, 0, 0, 0, 0, 0, 0]",
33672,"Crying_and_sobbing,Human_voice","/m/0463cq4,/m/09l8g",train,"[0, 0, 1, 0, 0, 0, 0, 0]",
217527,"Telephone,Alarm","/m/07cx4,/m/07pp_mv",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
202049,"Toilet_flush,Domestic_sounds_and_home_sounds","/m/01jt3m,/t/dd00071",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Toilet_flush
362320,"Cricket,Insect,Wild_animals,Animal","/m/09xqv,/m/03vt0,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cricket
206016,"Fill_(with_liquid),Liquid","/m/07p7b8y,/m/04k94",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Fill_(with_liquid)
238247,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
239496,"Cheering,Human_group_actions","/m/053hz1,/t/dd00012",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cheering
190091,"Splash_and_splatter,Liquid","/m/07rrlb6,/m/04k94",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Splash_and_splatter
182960,"Acoustic_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music","/m/042v_gx,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Acoustic_guitar
348911,"Glockenspiel,Mallet_percussion,Percussion,Musical_instrument,Music","/m/0dwtp,/m/0j45pbj,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Glockenspiel
333912,Fire,/m/02_41,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Fire
204637,"Marimba_and_xylophone,Mallet_percussion,Percussion,Musical_instrument,Music","/m/0dwsp,/m/0j45pbj,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Marimba_and_xylophone
236457,"Male_speech_and_man_speaking,Speech,Human_voice","/m/05zppz,/m/09x0r,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Male_speech_and_man_speaking
94688,"Chink_and_clink,Glass","/m/07q7njn,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
362471,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
381802,"Screaming,Human_voice","/m/03qc9zr,/m/09l8g",train,"[1, 0, 0, 0, 0, 0, 0, 0]",
9326,"Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/07pggtn,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Chirp_and_tweet
99080,"Thunder,Thunderstorm","/m/0ngt1,/m/0jb2l",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Thunder
174863,"Chink_and_clink,Glass","/m/07q7njn,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
117561,"Ringtone,Telephone,Alarm","/m/01hnzm,/m/07cx4,/m/07pp_mv",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
340250,"Sawing,Tools","/m/01b82r,/m/07k1x",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Sawing
396321,"Waves_and_surf,Ocean,Water","/m/034srq,/m/05kq4,/m/0838f",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Waves_and_surf
219912,Respiratory_sounds,/m/09hlz4,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Respiratory_sounds
35463,Explosion,/m/014zdl,train,"[0, 0, 0, 1, 0, 0, 0, 0]",
378310,"Sink_(filling_or_washing),Domestic_sounds_and_home_sounds","/m/0130jx,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Sink_(filling_or_washing)
66876,Glass,/m/039jq,train,"[0, 0, 0, 0, 0, 1, 0, 0]",
340716,"Engine,Mechanisms","/m/02mk9,/t/dd00077",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Engine
160756,Whoosh_and_swoosh_and_swish,/m/07rqsjt,val,"[0, 0, 0, 0, 0, 0, 0, 0]",Whoosh_and_swoosh_and_swish
220777,Domestic_sounds_and_home_sounds,/t/dd00071,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Domestic_sounds_and_home_sounds
125408,"Typing,Domestic_sounds_and_home_sounds","/m/0316dw,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Typing
125274,"Marimba_and_xylophone,Mallet_percussion,Percussion,Musical_instrument,Music","/m/0dwsp,/m/0j45pbj,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Marimba_and_xylophone
332658,"Drip,Gurgling,Liquid,Water","/m/07r5v4s,/m/07swgks,/m/04k94,/m/0838f",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Drip
98453,"Frog,Wild_animals,Animal","/m/09ld4,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Frog
176504,"Piano,Keyboard_(musical),Musical_instrument,Music","/m/05r5c,/m/05148p4,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Piano
89923,"Tap,Glass","/m/07qcpgn,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
116578,"Drum,Percussion,Musical_instrument,Music","/m/026t6,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Drum
265625,"Boom,Explosion","/m/07qqyl4,/m/014zdl",train,"[0, 0, 0, 1, 0, 0, 0, 0]",
63481,Burping_and_eructation,/m/03q5_w,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Burping_and_eructation
318087,"Sigh,Breathing,Respiratory_sounds,Human_voice","/m/07plz5l,/m/0lyf6,/m/09hlz4,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Sigh
27618,"Fireworks,Explosion","/m/0g6b5,/m/014zdl",train,"[0, 0, 0, 1, 0, 0, 0, 0]",
19845,"Boiling,Liquid","/m/0dv3j,/m/04k94",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Boiling
253716,"Crow,Bird,Wild_animals,Animal","/m/04s8yn,/m/015p6,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Crow
167539,"Ringtone,Telephone,Alarm","/m/01hnzm,/m/07cx4,/m/07pp_mv",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
44182,"Female_speech_and_woman_speaking,Telephone,Speech,Human_voice,Alarm","/m/02zsn,/m/07cx4,/m/09x0r,/m/09l8g,/m/07pp_mv",val,"[0, 0, 0, 0, 0, 0, 0, 1]",
255126,"Motor_vehicle_(road),Vehicle","/m/012f08,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Motor_vehicle_(road)
333724,"Accordion,Musical_instrument,Music","/m/0mkg,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Accordion
278113,Crumpling_and_crinkling,/t/dd00112,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Crumpling_and_crinkling
406249,"Rattle,Glass","/m/07qn4z3,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
80478,"Crying_and_sobbing,Human_voice","/m/0463cq4,/m/09l8g",train,"[0, 0, 1, 0, 0, 0, 0, 0]",
168723,"Crying_and_sobbing,Human_voice","/m/0463cq4,/m/09l8g",train,"[0, 0, 1, 0, 0, 0, 0, 0]",
262659,"Clapping,Hands","/m/0l15bq,/m/0k65p",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Clapping
235871,"Bark,Dog,Domestic_animals_and_pets,Animal","/m/05tny_,/m/0bt9lr,/m/068hy,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bark
235149,"Female_speech_and_woman_speaking,Speech,Human_voice","/m/02zsn,/m/09x0r,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Female_speech_and_woman_speaking
19180,"Scissors,Domestic_sounds_and_home_sounds","/m/01lsmm,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Scissors
58388,"Race_car_and_auto_racing,Alarm,Car,Motor_vehicle_(road),Vehicle","/m/0ltv,/m/07pp_mv,/m/0k4j,/m/012f08,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
42191,"Sink_(filling_or_washing),Water_tap_and_faucet,Domestic_sounds_and_home_sounds","/m/0130jx,/m/02jz0l,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Sink_(filling_or_washing)
33514,"Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bird_vocalization_and_bird_call_and_bird_song
236561,"Male_speech_and_man_speaking,Speech,Human_voice","/m/05zppz,/m/09x0r,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Male_speech_and_man_speaking
369490,Crumpling_and_crinkling,/t/dd00112,val,"[0, 0, 0, 0, 0, 0, 0, 0]",Crumpling_and_crinkling
349791,"Fireworks,Explosion","/m/0g6b5,/m/014zdl",train,"[0, 0, 0, 1, 0, 0, 0, 0]",
395375,Hands,/m/0k65p,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Hands
240856,"Laughter,Human_voice","/m/01j3sz,/m/09l8g",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Laughter
