fname,gt_Scream,gt_Shout,gt_Crying,gt_Explosion,gt_Gunshot,gt_Glass,gt_Siren,gt_Alarm,pseudo_Scream,pseudo_Shout,pseudo_Crying,pseudo_Explosion,pseudo_Gunshot,pseudo_Glass,pseudo_Siren,pseudo_Alarm,tuned_Scream,tuned_Shout,tuned_Crying,tuned_Explosion,tuned_Gunshot,tuned_Glass,tuned_Siren,tuned_Alarm,score_Scream,score_Shout,score_Crying,score_Explosion,score_Gunshot,score_Glass,score_Siren,score_Alarm
360797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1061,-0.1623,-0.0874,-0.1191,-0.1296,-0.08,-0.0619,-0.0062
222359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1593,0.2039,0.1334,-0.0731,-0.0411,-0.1203,0.2672,0.2386
53979,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1616,0.2889,0.2797,0.0014,0.0987,-0.0523,0.1338,0.2011
150468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641,-0.0915,-0.1234,-0.1513,-0.091,-0.1912,-0.1408,-0.047
373919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597,0.0476,-0.0868,0.106,0.1617,0.0323,0.0585,0.0385
271407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141,-0.1814,-0.2285,-0.0704,-0.0964,-0.1391,-0.1039,-0.0004
394418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425,0.0429,-0.0166,-0.1011,-0.1101,-0.0852,0.0236,-0.0074
2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032,-0.1402,-0.081,-0.0165,0.0023,-0.0288,0.094,0.0829
316586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1461,-0.0734,-0.0913,-0.0443,-0.0428,-0.0374,-0.0601,-0.041
408178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117,0.0464,0.0303,-0.0404,0.0256,0.107,0.0053,-0.0367
187051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-0.0341,-0.0035,-0.1199,-0.1621,-0.147,-0.0555,-0.0498
21828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1442,-0.0418,-0.1353,0.0893,0.0451,-0.0998,-0.0331,0.0164
33735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.1367,0.1028,-0.029,-0.107,-0.0718,-0.0735,0.3598,0.3001
377295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1666,-0.1029,-0.2019,-0.0879,-0.0124,-0.0831,-0.0375,0.0052
194698,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0808,0.1836,0.028,0.0677,0.0859,0.4962,0.0834,0.0284
430702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322,-0.1198,-0.0484,0.0385,0.051,0.1358,-0.0172,-0.0487
91176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0.0489,-0.0732,0.0119,0.0204,0.0367,-0.0014,0.1047
390715,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.051,0.1256,0.0192,0.2191,0.2185,0.3658,0.0346,0.0624
425824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579,-0.0143,-0.021,-0.1323,-0.0209,0.0866,0.0039,0.0205
116382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823,0.0574,0.0392,0.0487,-0.0218,-0.0443,0.0927,0.123
341038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697,0.1674,0.0121,-0.0048,-0.0303,0.0766,-0.1756,-0.0079
238583,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.2584,-0.0627,-0.1024,0.0534,-0.0252,0.0059,-0.0644
388206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426,-0.0932,-0.0096,0.1494,0.1798,-0.0542,0.0755,0.1348
389495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138,0.0192,-0.0276,0.0687,0.1064,0.0193,-0.0538,-0.1026
234615,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0578,0.1144,-0.0589,0.292,0.3672,0.0282,0.1376,0.1067
378296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0802,0.0606,-0.0973,0.0205,0.1826,0.3062,0.077,-0.0141
176569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0045,-0.0426,0.0618,-0.0196,0.0365,0.2299,-0.0483,0.1137
182825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694,0.0868,0.1097,0.0091,-0.0398,0.0893,0.0681,0.0289
343877,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1355,0.3041,0.0465,-0.0045,-0.0598,0.0061,-0.0657,-0.0903
106073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1101,-0.0084,0.1364,-0.0926,-0.0364,-0.0903,0.0439,0.0643
104033,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3795,0.3058,0.1886,0.0611,-0.0899,0.0061,0.11,0.0538
333080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1194,0.0712,0.132,-0.072,0.0126,0.0245,0.0601,-0.003
372606,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0502,0.0423,-0.034,0.1718,0.2762,-0.0773,0.0066,0.0726
415444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1287,-0.1514,0.0261,-0.1839,-0.1174,-0.083,0.0033,0.0819
338896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341,-0.0815,-0.058,0.0318,-0.0309,-0.0579,-0.0856,-0.0468
85911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463,-0.0592,0.0144,-0.1142,-0.0035,-0.0636,0.1285,0.1469
202426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217,-0.0742,0.0346,-0.0685,-0.0535,0.0648,-0.054,0.0022
91143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418,0.0285,-0.1323,0.0406,0.0655,-0.0048,0.0441,0.2109
213546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0061,-0.0009,-0.0989,0.0389,0.1706,-0.1181,0.2196,0.1635
75846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533,-0.0173,-0.0431,0.0798,0.0293,-0.1712,0.0698,-0.0172
41425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698,-0.028,-0.1777,0.0865,-0.1063,-0.1345,-0.1597,-0.1035
383107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746,-0.1176,-0.1282,-0.1296,-0.0977,-0.0797,-0.0305,0.0043
365067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284,-0.1209,-0.0749,-0.1851,-0.13,-0.0818,-0.1269,-0.0239
378847,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612,-0.0051,-0.0519,0.0027,0.1103,0.1218,0.1192,0.1661
121306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556,-0.0304,-0.0435,-0.0994,-0.0598,-0.1913,0.0244,0.2114
232555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769,-0.1827,-0.0988,-0.0503,0.0448,-0.0923,0.01,0.1071
162208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0466,-0.0765,-0.0321,-0.0847,0.011,-0.1162,0.1692,0.2211
426563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1399,0.0009,-0.0977,-0.0552,0.0063,-0.1472,0.0086,0.0615
407723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0.0728,0.1265,-0.1596,-0.095,-0.1004,-0.0564,-0.0641
342664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.0281,0.0282,-0.0388,-0.1262,-0.0048,-0.1139,0.1288,0.2627
152787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1199,-0.1095,-0.1157,0.0386,-0.0241,-0.089,-0.0826,-0.0442
108588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584,0.106,-0.0408,0.0317,0.0372,-0.0319,0.0184,0.0654
68160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493,-0.0545,0.0224,-0.1029,-0.0649,-0.0945,0.1592,0.1696
360831,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0926,-0.031,-0.0876,0.0081,0.0848,-0.0456,0.1614,0.235
10347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1612,0.0382,0.085,-0.0476,-0.1018,-0.0136,0.0954,0.168
362238,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1094,0.2082,0.1102,0.0709,0.1625,0.4345,0.0779,0.0653
101156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0396,-0.0317,-0.0347,0.0712,-0.0133,-0.0852,0.0092,0.0535
223375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0828,0.0102,-0.1396,-0.1002,-0.0538,-0.1068,-0.1545,-0.0736
323084,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3779,0.4805,0.2145,-0.0003,-0.0704,0.0722,0.1287,0.0056
4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.1935,-0.1126,0.0765,0.1075,0.0023,0.0812,0.1585
91013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288,0.0434,-0.0462,-0.0306,0.0111,-0.0053,0.0306,0.0769
273432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234,-0.1242,-0.1455,-0.0164,-0.0463,-0.1359,0.0743,0.0252
90547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429,-0.0447,-0.1359,-0.0452,-0.0133,0.0573,-0.0775,0.0863
233029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1321,0.0623,-0.0969,0.0029,0.0467,-0.0477,-0.0008,0.0057
201259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0.1277,-0.078,-0.0928,-0.001,-0.0173,-0.0691,-0.0482
193950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1372,-0.0569,-0.1372,0.0534,0.0271,0.029,-0.1024,-0.0063
217767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,-0.0791,-0.0238,-0.1464,-0.0653,-0.1262,0.0086,-0.0297
361748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372,-0.0055,-0.1003,-0.0818,-0.0332,-0.1213,0.105,0.0782
108578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1753,-0.1158,-0.2279,-0.1429,-0.0742,-0.187,-0.1344,0.0549
244927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.039,-0.0121,-0.0614,0.1169,0.1331,0.0032,0.0938,0.3194
13423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,-0.0084,0.0165,-0.1383,-0.0083,-0.1125,0.0927,0.1167
357872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278,0.0486,0.0387,-0.1035,0.0216,0.0134,0.0222,-0.0436
205510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0068,-0.0433,-0.0383,-0.0313,-0.0315,-0.0183,0.0929,-0.0253
368805,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,-0.0818,0.0632,-0.1323,0.273,0.2834,-0.0417,0.0171,0.0596
213453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1477,-0.1225,-0.0999,-0.0681,-0.06,-0.2746,-0.007,0.126
16197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795,0.1084,-0.0349,-0.1641,-0.188,-0.0432,-0.174,-0.1442
220617,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.4261,0.4048,0.3845,-0.0536,-0.1791,0.0604,0.1215,0.0094
126561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.1543,0.1102,0.0867,0.0007,0.1437,0.0379,0.3571,0.4044
196073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1234,0.1816,0.3012,-0.0666,-0.1133,-0.1733,0.0102,0.073
167227,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3179,0.3938,0.4502,-0.0529,-0.0397,0.0843,0.1107,0.0566
254336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.2587,-0.0809,-0.0021,-0.0106,-0.1145,-0.0079,-0.0522
411691,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.015,0.0035,0.0171,0.2801,0.1776,0.1342,0.0264,0.1055
92315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604,-0.015,-0.0827,-0.1785,-0.1045,-0.2183,-0.047,-0.1622
415862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1719,-0.1424,-0.2193,-0.0355,-0.0016,-0.1275,0.0138,0.0634
60389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293,-0.0338,-0.0623,-0.1822,-0.1253,-0.1449,-0.1604,-0.1021
274069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226,-0.1627,-0.13,-0.1614,-0.2205,-0.0668,-0.1761,-0.1507
231765,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0317,0.0633,-0.0936,0.3395,0.2244,0.0073,0.0099,0.0586
32316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0577,-0.1035,-0.0227,-0.0818,-0.0031,-0.0536,0.09,-0.008
352066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713,-0.0699,-0.1486,0.0129,-0.0305,0.1655,-0.0191,0.1233
13802,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1718,0.0293,0.4561,-0.074,-0.037,-0.0246,0.1304,0.1839
426205,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0159,0.0257,-0.0276,0.1396,0.0878,0.4728,0.0446,0.0101
88936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1524,0.0155,-0.1849,0.0705,0.1028,0.1973,-0.0736,0.0345
209578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913,0.0354,-0.0548,0.0973,0.0708,0.0197,-0.0397,0.2068
67564,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0159,0.0211,-0.0472,0.2654,0.3586,0.1337,0.0105,0.0796
9325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565,-0.0787,-0.1235,-0.0188,-0.0454,-0.1188,0.0499,0.093
108044,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1024,-0.0394,-0.0587,0.2176,0.2256,-0.0062,-0.1089,0.0317
100767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477,0.0489,-0.0667,0.1104,-0.0069,-0.0617,-0.0473,-0.1245
343879,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.4393,0.3846,0.3674,0.0281,-0.0715,0.1021,0.1695,0.138
33672,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1319,0.0275,0.4749,-0.0557,-0.0306,-0.0376,0.0828,0.1681
217527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.047,-0.1051,0.0343,-0.1509,-0.0431,-0.1547,0.1945,0.2647
202049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1584,-0.1857,-0.1872,-0.0227,-0.1245,-0.1208,-0.0482,-0.0192
362320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.173,0.0834,0.1301,0.0054,-0.0147,-0.0596,0.1487,0.2239
206016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1163,-0.0897,-0.048,-0.0127,0.0119,0.1385,-0.0212,-0.0014
238247,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0094,0.0411,-0.0473,0.1786,0.3106,-0.0101,0.0971,0.0554
239496,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386,0.2606,-0.03,-0.0449,-0.0083,0.0415,-0.0086,0.0051
190091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1624,-0.0669,-0.1435,-0.0606,-0.0208,-0.068,-0.0787,-0.0136
182960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0.0679,-0.1377,0.0374,0.0177,-0.1094,-0.0425,-0.0109
348911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023,0.0464,0.0918,-0.0451,-0.029,-0.0723,0.0912,0.1552
333912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.0415,-0.0143,0.0078,0.0425,0.1156,0.043,0.034
204637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0366,-0.0134,0.0015,0.003,0.0131,-0.0218,0.1357,0.2641
236457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153,0.027,-0.0928,0.0198,0.0317,-0.0695,-0.004,-0.0077
94688,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416,0.1155,0.0341,0.0132,0.0379,0.134,0.0852,0.1957
362471,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-0.0313,0.0169,-0.0465,0.2205,0.3146,-0.0665,0.0399,0.0768
381802,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.4462,0.3991,0.2742,-0.0593,-0.1309,-0.0134,0.1274,0.0004
9326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201,-0.0274,-0.1223,-0.0284,-0.0399,-0.0663,0.0214,0.047
99080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.029,-0.0381,0.016,0.196,0.1488,0.0781,0.0783,0.0404
174863,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405,0.0351,-0.0817,-0.0415,0.0067,0.1335,-0.0991,0.0541
117561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233,-0.1478,-0.0652,-0.0925,-0.0328,-0.0979,0.0265,0.1241
