ytid,start_s,end_s,labels,Scream,Shout,Crying,Explosion,Gunshot,Glass,Siren,Alarm
irXG4eCATQk,0.0,10.0,/m/0g6b5,0,0,0,1,0,0,0,0
qnKawSpldn4,20.0,30.0,/m/039jq,0,0,0,0,0,1,0,0
-20uudT97E0,30.0,40.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
AxZxCPvCtGA,30.0,40.0,/m/0463cq4,0,0,1,0,0,0,0,0
c7mXuT1W73I,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
NFVilfI5hBg,70.0,80.0,"/m/015lz1,/m/04rlf,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
DKbPZjiOs8s,10.0,20.0,"/m/012f08,/m/012ndj,/m/03j1ly,/m/07r04,/m/07yv9",0,0,0,0,0,0,1,0
yJNIlzKCEfw,18.0,28.0,"/m/01y3hg,/m/030rvx",0,0,0,0,0,0,0,1
5_yE8o6vnMg,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
YRzbOQY-Zfo,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
TYBfRO1HZh0,30.0,40.0,/m/03kmc9,0,0,0,0,0,0,1,0
28VoHgz8Pbg,30.0,40.0,"/m/03qc9zr,/m/03qtwd,/m/04rlf,/m/053hz1,/m/09x0r,/m/0l15bq",1,0,0,0,0,0,0,0
AoIQX-AJT20,1.0,11.0,"/m/07qz6j3,/t/dd00002",0,0,1,0,0,0,0,0
-sUgHKZQKYc,30.0,40.0,/m/03qc9zr,1,0,0,0,0,0,0,0
ff_riarnjB0,26.0,36.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
tty08Z1cnw8,260.0,270.0,/m/09x0r,0,0,0,0,0,0,0,0
y9CtRWwNVIs,80.0,90.0,"/m/015lz1,/m/03qtwd,/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
9k1ZuVzpF7c,40.0,50.0,"/m/01b_21,/m/01j3sz,/m/0463cq4",0,0,1,0,0,0,0,0
8IBwEFLHxNw,30.0,40.0,/m/0g6b5,0,0,0,1,0,0,0,0
A29Lk1N6HQI,30.0,40.0,"/m/07k1x,/m/09x0r",0,0,0,0,0,0,0,0
SPKCe8qmz6c,90.0,100.0,"/m/015lz1,/m/04rlf",0,0,0,0,0,0,0,0
-GVPW-f3sbo,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
DG6ZWKPfxII,440.0,450.0,"/m/03qtwd,/m/04rlf,/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
oNL_PUVQUh4,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
XzIy5S7QJ0k,7.0,17.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
EhaFWYaLNzE,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
8UPLn3M5M_M,30.0,40.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
13q6vtzWRTE,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
CgAGlxEHCes,50.0,60.0,"/m/014zdl,/m/04rlf",0,0,0,1,0,0,0,0
CM1Ov2fBHwE,350.0,360.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
VPF75hWXaZc,30.0,40.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
9OnIi_5K6do,30.0,40.0,/m/03kmc9,0,0,0,0,0,0,1,0
Yhu4s7p7cJg,260.0,270.0,/m/09x0r,0,0,0,0,0,0,0,0
WDHqT9scXt4,30.0,40.0,/m/014zdl,0,0,0,1,0,0,0,0
irhsdhRIUwI,10.0,20.0,/m/0g6b5,0,0,0,1,0,0,0,0
ZwQxt4wbtGw,60.0,70.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
m64DZUWfOLg,30.0,40.0,/m/032s66,0,0,0,0,1,0,0,0
1hoHYhaugRU,30.0,40.0,"/m/07pqc89,/m/09x0r",0,0,0,0,0,0,0,0
teJGFO7KuDw,30.0,40.0,"/m/04rlf,/m/07sbbz2",0,0,0,0,0,0,0,0
4PdvcWb9zkM,19.0,29.0,"/m/0g6b5,/t/dd00128",0,0,0,1,0,0,0,0
Zvw6-vi3Aq8,150.0,160.0,"/m/04rlf,/m/09x0r,/t/dd00129",0,0,0,0,0,0,0,0
o7P9RFIeTtk,560.0,570.0,"/m/01g50p,/m/07jdr,/m/07yv9,/m/09x0r",0,0,0,0,0,0,0,0
nH1-Ul2TIsA,22.0,32.0,/t/dd00002,0,0,1,0,0,0,0,0
UikrYQmCYf0,90.0,100.0,"/m/039jq,/m/07rjzl8,/m/09x0r",0,0,0,0,0,1,0,0
EXgFZCBZ18Y,12.0,22.0,"/m/07cx4,/m/0c3f7m",0,0,0,0,0,0,0,1
SAjGpGbmmXY,5.0,15.0,"/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r",0,0,0,1,0,0,0,0
q36GQKVQyOY,30.0,40.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
DmFS1Cff7JU,18.0,28.0,"/m/014zdl,/m/04rlf",0,0,0,1,0,0,0,0
1ItBtQSY6JQ,10.0,20.0,"/m/015lz1,/m/03qtwd,/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
FkxerJFHgwk,30.0,40.0,"/m/046dlr,/m/07pp_mv",0,0,0,0,0,0,0,1
pgN-Why-duY,0.0,10.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
HB1R6eZS_qU,230.0,240.0,"/m/026t6,/m/02hnl,/m/03lty,/m/04rlf,/m/04szw,/m/06by7",0,0,0,0,0,0,0,0
ihEorR4tscc,340.0,350.0,"/m/01j3sz,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
nA-f8b2Zn6M,80.0,90.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
I0QHLuIJ2AE,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
AjEPFL65QYM,13.0,23.0,/m/09x0r,0,0,0,0,0,0,0,0
rx9Sarky2d8,50.0,60.0,"/m/012n7d,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
J07cyQ6vCgg,30.0,40.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
-mDOld5RYxw,80.0,90.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
G2Z747RET00,14.0,24.0,"/m/07qz6j3,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
3P-GdQeEFo8,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
snaFgf4_sZI,30.0,40.0,"/m/04rlf,/m/07sbbz2,/m/09x0r",0,0,0,0,0,0,0,0
9wc0p47yck4,30.0,40.0,"/m/02lkt,/m/04rlf,/m/07gxw",0,0,0,0,0,0,0,0
S0KJJKUtpa4,10.0,20.0,"/m/032s66,/m/04zjc,/m/09x0r",0,0,0,0,1,0,0,0
dwAATor0dwU,100.0,110.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
5LweUhQmvjM,60.0,70.0,"/m/039jq,/m/09x0r,/t/dd00125",0,0,0,0,0,1,0,0
-j8EeIX9ynk,40.0,50.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
0EymGuYWkFk,30.0,40.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
yg-lsIdL0bU,30.0,40.0,/m/032s66,0,0,0,0,1,0,0,0
TKIlOBgOgMQ,30.0,40.0,/m/032s66,0,0,0,0,1,0,0,0
k17Xq-wWn6w,110.0,120.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
7qsAxn-1qQ8,0.0,10.0,"/m/07pp_mv,/t/dd00125",0,0,0,0,0,0,0,1
Q6fDngpwGy0,30.0,40.0,"/m/014zdl,/m/07qsvvw,/m/09x0r",0,0,0,1,0,0,0,0
toaq4xGQOUE,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
vMb98Zz8Djw,80.0,90.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
T0CWQn5Pygo,30.0,40.0,/m/014zdl,0,0,0,1,0,0,0,0
hd2eXuNUEC0,10.0,20.0,/m/014zdl,0,0,0,1,0,0,0,0
SK0eG-V-llQ,200.0,210.0,/m/032s66,0,0,0,0,1,0,0,0
BwUfBiv-gr8,270.0,280.0,/m/09x0r,0,0,0,0,0,0,0,0
URJFlb_yriQ,90.0,100.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
_-1X_BmFN0g,180.0,190.0,/m/032s66,0,0,0,0,1,0,0,0
RyHHHXTmQE8,120.0,130.0,"/m/039jq,/m/04k94,/m/0838f,/m/09x0r",0,0,0,0,0,1,0,0
eeG5d-BMKjA,90.0,100.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
L0RJ5qF3B-M,130.0,140.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
8spbSE-Y5yI,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
HuCkRcQKux0,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
MMDUL0otRG0,10.0,20.0,"/m/0342h,/m/04rlf,/m/04szw,/m/07p6fty,/m/09x0r,/m/0fx80y",0,1,0,0,0,0,0,0
EPHbMgjtAjs,11.0,21.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
mtx5x5X6h_w,30.0,40.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
dekHnL7ZOBg,10.0,20.0,/m/014zdl,0,0,0,1,0,0,0,0
vJwCeEoc6Ss,290.0,300.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
Zhl-klvZBIE,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128",0,0,0,0,0,0,0,0
DiInvIYzq6Q,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
_LyX0W1PAgw,500.0,510.0,"/m/01j3sz,/m/03qc9zr,/m/04rlf,/m/09x0r,/m/0ytgt",1,0,0,0,0,0,0,0
MStmROOpspI,0.0,3.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
HgnT0RyMJdU,80.0,90.0,"/m/039jq,/m/04rlf,/m/09x0r",0,0,0,0,0,1,0,0
W8R9fj3e0Jk,0.0,10.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
mqmh5F5_nhg,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
EDYI8gBK8_I,40.0,50.0,/m/039jq,0,0,0,0,0,1,0,0
sARTViYYmM8,10.0,20.0,"/m/012n7d,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
2LDYDCkYsSM,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
KgAFJk1VceY,80.0,90.0,"/m/015lz1,/m/03lty,/m/04rlf,/m/05r6t,/m/05zppz,/m/06by7,/m/074ft,/m/0dl5d,/m/0dls3",0,0,0,0,0,0,0,0
Yi-Yf39yaZQ,160.0,170.0,"/m/04rlf,/m/06bxc",0,0,0,0,0,0,0,0
jZNdsbYKsDg,30.0,40.0,"/m/07qz6j3,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
lYTYSkmKvyg,50.0,60.0,"/m/02cjck,/m/04rlf",0,0,0,0,0,0,0,0
Hpn0oLqNRiE,30.0,40.0,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,1
wfIFhBZMIQU,0.0,10.0,/m/039jq,0,0,0,0,0,1,0,0
4PYpHAr_6mM,30.0,40.0,"/m/07qz6j3,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
XayzNWAPgzQ,150.0,160.0,"/m/01hgjl,/m/04rlf,/m/0cfdd",0,0,0,0,0,0,0,0
YwdKYFPiqW0,190.0,200.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
MuGjEKe9DZY,30.0,40.0,"/m/04rlf,/m/07gxw",0,0,0,0,0,0,0,0
dg9OQY51vog,100.0,110.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
3II3mgbe55o,310.0,320.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
4-W488zcbS4,4.0,14.0,/t/dd00002,0,0,1,0,0,0,0,0
mZd6vUHMAjA,30.0,40.0,/m/02mfyn,0,0,0,0,0,0,0,1
IiS0ZtEYgPY,140.0,150.0,/m/0g6b5,0,0,0,1,0,0,0,0
zfIoCDuPbeY,20.0,30.0,/m/01y3hg,0,0,0,0,0,0,0,1
KzoJpKd2tkA,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
iIVDADfyy54,20.0,30.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
q3DDJUSVers,330.0,340.0,/m/07pp_mv,0,0,0,0,0,0,0,1
ShZniY3UB_g,30.0,40.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
MwMky2YsdqM,30.0,40.0,/m/03qc9zr,1,0,0,0,0,0,0,0
uP87XUaQHFo,20.0,30.0,/m/0g6b5,0,0,0,1,0,0,0,0
xx0wiWhWD-0,0.0,10.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
-5EiLqHCLuI,0.0,10.0,"/m/012n7d,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
BaPR4Bscwp4,30.0,40.0,"/m/0463cq4,/m/0ytgt",0,0,1,0,0,0,0,0
oMRrRTeeWes,60.0,70.0,/m/03qc9zr,1,0,0,0,0,0,0,0
0qXq2V4VTlE,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
N7HKE-tZz_w,30.0,40.0,"/m/026t6,/m/04rlf",0,0,0,0,0,0,0,0
YulFrP1Ahf4,40.0,50.0,"/m/012ndj,/m/07yv9",0,0,0,0,0,0,1,0
MnJBhjd_9sE,27.0,37.0,"/m/01y3hg,/m/02fs_r",0,0,0,0,0,0,0,1
tbC_LBMIZYY,130.0,140.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
SOM1GYP25PE,10.0,20.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
-3VNXArDU6E,21.0,31.0,"/m/02p0sh1,/m/04rlf,/m/05rwpb",0,0,0,0,0,0,0,0
RDHd5pDWJMc,30.0,40.0,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,1
0F06QDlG8nY,60.0,70.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
iaHB5oE8hU0,30.0,40.0,/m/0c3f7m,0,0,0,0,0,0,0,1
jgWHfYFMjOc,10.0,20.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
9l9TdwUim2E,10.0,20.0,/m/03qc9zr,1,0,0,0,0,0,0,0
k6KcnHyGU2I,29.0,39.0,/m/04rlf,0,0,0,0,0,0,0,0
Lx6xaU2Ti7s,340.0,350.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
yjpd9D4Kc4Q,60.0,70.0,/m/03qc9zr,1,0,0,0,0,0,0,0
-woquFRnQk8,16.0,26.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
1QmEajJP3Jc,260.0,270.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
hHsR7wARPxA,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128",0,0,0,0,0,0,0,0
a3NmUlnBjR0,10.0,20.0,"/m/03qtwd,/m/053hz1",0,0,0,0,0,0,0,0
XGINrjREFiE,190.0,200.0,"/m/02z32qm,/m/032s66",0,0,0,0,1,0,0,0
YHaQeLAKdZ0,40.0,50.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
MxqWlSxuKvs,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
3qCf8wct2pc,0.0,10.0,"/m/039jq,/m/04rlf,/m/07rn7sz",0,0,0,0,0,1,0,0
I4PlKRQNShI,20.0,30.0,/m/0g6b5,0,0,0,1,0,0,0,0
R9Ml8u2QRC8,30.0,40.0,/m/03kmc9,0,0,0,0,0,0,1,0
w8gLwi2_bEc,30.0,40.0,"/m/03kmc9,/m/04qvtq,/m/07yv9,/m/0k4j",0,0,0,0,0,0,1,0
4EMHsIJLk3c,120.0,130.0,/m/032s66,0,0,0,0,1,0,0,0
nl7uKGb-nUE,7.0,17.0,/m/09x0r,0,0,0,0,0,0,0,0
6aXuMIjRfjY,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
RCQDQeHvNXY,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
-fYzK3t5mCo,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
1lz52K4W9rM,30.0,40.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
g8g4zRShESY,440.0,450.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
2n2yYSggnwA,90.0,100.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
W4AptCGYj5w,30.0,40.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
1G15rwfNy1Y,90.0,100.0,"/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c",0,0,0,0,0,0,0,0
0agMSdf3pAY,30.0,40.0,"/m/014zdl,/m/07qsvvw",0,0,0,1,0,0,0,0
E2SmEeozjtM,530.0,540.0,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/0g6b5",0,0,0,1,0,0,0,0
WPE7-WrWOVU,70.0,80.0,"/m/03qtwd,/t/dd00135",0,1,0,0,0,0,0,0
OBzy1bb2Guc,30.0,40.0,"/m/03qc9zr,/m/03qtwd,/m/09x0r,/m/0c1dj",1,0,0,0,0,0,0,0
KC3rnl1inMI,0.0,6.0,"/m/014zdl,/m/07qsvvw",0,0,0,1,0,0,0,0
aXSWtpwQVuo,120.0,130.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
R7nS11bmXHc,0.0,10.0,/m/0463cq4,0,0,1,0,0,0,0,0
3uGAvVJEWP8,30.0,40.0,"/m/04rlf,/m/04szw,/m/07y_7",0,0,0,0,0,0,0,0
D1bst-wPWM8,20.0,30.0,"/m/02zsn,/m/09x0r,/m/0jbk",0,0,0,0,0,0,0,0
Nbrnjd-v1aE,5.0,15.0,/m/03qc9zr,1,0,0,0,0,0,0,0
kvjKpEw17x4,5.0,15.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
L0-SaQiCX84,380.0,390.0,/m/032s66,0,0,0,0,1,0,0,0
NVNuo-CpRbU,50.0,60.0,/m/07pp_mv,0,0,0,0,0,0,0,1
6dPOgDPbPeg,30.0,40.0,/t/dd00002,0,0,1,0,0,0,0,0
Fwerx8811UQ,340.0,350.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
SN-oB7alNy8,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
fu5PSTbkCTY,23.0,33.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
3ijkT9Ci4vI,30.0,40.0,"/m/03qc9zr,/t/dd00002",1,0,1,0,0,0,0,0
65YTF_sF3JI,290.0,300.0,"/m/0463cq4,/m/04rlf,/m/09x0r",0,0,1,0,0,0,0,0
KIbl4N5GClM,30.0,40.0,"/m/04rlf,/m/064t9",0,0,0,0,0,0,0,0
YsxXIExMnEU,30.0,40.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
hdryQ62eIs4,10.0,20.0,"/m/07pp_mv,/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
BVFMNhWIVTU,30.0,40.0,"/m/014zdl,/m/07qsvvw,/m/09x0r",0,0,0,1,0,0,0,0
Hy0xX59nP7c,0.0,10.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
kmgtDjkNUp4,0.0,10.0,"/m/03qtwd,/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
R0qKK0f8ouA,1.0,11.0,"/m/014zdl,/m/09x0r",0,0,0,1,0,0,0,0
zBl7JwCqz3o,10.0,20.0,"/m/04rlf,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
sc1X_5ZRTAM,20.0,30.0,/m/0463cq4,0,0,1,0,0,0,0,0
18RuhyZJJ8E,25.0,35.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
-UMvZ8-An7I,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
u6quVRzIU18,80.0,90.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
uGjJscNF6Ec,0.0,4.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
pA9L5g87K2k,320.0,330.0,"/m/04rlf,/m/07p6fty,/t/dd00128",0,1,0,0,0,0,0,0
d5qtmC7-BJQ,30.0,40.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
hGClVqkQbEw,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
812x4Pg1Za0,21.0,31.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
MFaRhAq2JLw,10.0,20.0,/t/dd00002,0,0,1,0,0,0,0,0
-1qu_0fDd_8,250.0,260.0,"/m/09x0r,/t/dd00128",0,0,0,0,0,0,0,0
VagGsiJqPMI,250.0,260.0,"/m/03qtwd,/m/04rlf,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
9FZiHdiMLf0,50.0,60.0,"/m/028sqc,/m/03qtwd,/m/04rlf",0,0,0,0,0,0,0,0
s7XMFO-wSNw,21.0,31.0,"/m/04rlf,/t/dd00002",0,0,1,0,0,0,0,0
pIaEpiAdOyE,80.0,90.0,"/m/04qvtq,/m/06bz3,/m/09x0r",0,0,0,0,0,0,1,0
EpqhsgnFy7g,0.0,10.0,"/m/012ndj,/m/03j1ly,/m/07r04,/m/07yv9",0,0,0,0,0,0,1,0
i1vFjX74XME,90.0,100.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
OQtlwXlY_uY,80.0,90.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
vS_xhJ-t7BI,10.0,20.0,"/m/015lz1,/m/04rlf,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
-9XmXoOdb68,30.0,40.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
cJJ_nDs491A,0.0,9.0,"/m/032s66,/m/09x0r",0,0,0,0,1,0,0,0
KxDHe0aaOqw,190.0,200.0,/m/02mfyn,0,0,0,0,0,0,0,1
xk2i1aLaDgQ,290.0,300.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
z-D3XS_HRxU,0.0,10.0,"/m/012f08,/m/012ndj,/m/03j1ly,/m/07r04,/m/07yv9,/m/0btp2",0,0,0,0,0,0,1,0
8z2yFtX66C4,30.0,40.0,"/m/04rlf,/m/07p6fty,/m/09x0r,/t/dd00127",0,1,0,0,0,0,0,0
YyPlVpq8CT0,140.0,150.0,/m/039jq,0,0,0,0,0,1,0,0
WGbJ3ahXAHw,60.0,70.0,"/m/04_sv,/m/07pp_mv",0,0,0,0,0,0,0,1
3FH0bM6TS8g,6.0,16.0,"/m/02sgy,/m/0342h,/m/04rlf,/m/04szw",0,0,0,0,0,0,0,0
YWXSSqQMFwQ,90.0,100.0,"/m/015lz1,/m/04rlf,/m/064t9,/m/07p6fty,/m/0y4f8",0,1,0,0,0,0,0,0
sNY_HeMbyQc,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
e5ttSYXvblM,50.0,60.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
4PEdsR-0Wkc,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
lLbzMeiHjtY,100.0,110.0,"/m/015lz1,/m/04rlf,/m/064t9,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
tdbgUDVN3bk,210.0,220.0,"/m/015lz1,/m/03qtwd,/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
cafJCt0UoNE,70.0,80.0,"/m/02w4v,/m/04rlf",0,0,0,0,0,0,0,0
ZWvESjqRN-E,140.0,150.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
3NaMClMABvo,29.0,39.0,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y",0,0,0,0,0,0,0,0
RDZ0QGSFNLI,30.0,40.0,/m/012ndj,0,0,0,0,0,0,1,0
_41wUdRvRtM,40.0,50.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
qh3-YsS6GNU,0.0,10.0,/m/014zdl,0,0,0,1,0,0,0,0
YyVPnZT2zWE,470.0,480.0,"/m/04rlf,/m/07qfr4h,/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
fL5DWeK6XOU,10.0,20.0,/m/03qc9zr,1,0,0,0,0,0,0,0
c-RNhKT5gdo,21.0,31.0,"/m/09x0r,/m/0g6b5,/t/dd00128",0,0,0,1,0,0,0,0
QzQEO8ysYw0,100.0,110.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
24Q1FbFL9LY,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
FG9vTn5F3wg,30.0,40.0,"/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
